Tile_ID,Ground_Truth,Prediction,Category
114,0,1,FP
111,1,1,TP
524,1,0,FN
137,1,0,FN
205,1,0,FN
380,0,0,TN
99,1,1,TP
513,1,1,TP
77,0,1,FP
126,1,1,TP
29,1,1,TP
424,0,0,TN
368,0,1,FP
450,0,1,FP
393,1,0,FN
361,1,1,TP
259,0,1,FP
230,1,1,TP
223,1,1,TP
107,1,1,TP
367,0,1,FP
232,1,1,TP
247,0,1,FP
378,0,0,TN
9,1,1,TP
153,0,1,FP
103,1,1,TP
251,1,1,TP
210,1,1,TP
95,1,1,TP
203,1,0,FN
510,0,1,FP
275,0,0,TN
172,0,0,TN
356,0,1,FP
37,1,1,TP
135,1,1,TP
16,1,1,TP
476,0,0,TN
295,1,1,TP
133,0,1,FP
62,1,1,TP
89,1,1,TP
151,0,0,TN
372,1,1,TP
7,1,1,TP
517,1,1,TP
41,1,1,TP
198,0,0,TN
489,1,1,TP
381,0,0,TN
20,1,1,TP
404,0,1,FP
279,0,1,FP
486,0,1,FP
475,1,0,FN
139,0,1,FP
420,0,0,TN
509,0,1,FP
505,0,1,FP
458,1,1,TP
96,1,1,TP
129,1,1,TP
35,1,1,TP
10,1,1,TP
22,1,1,TP
200,1,0,FN
461,1,1,TP
254,1,1,TP
439,1,1,TP
477,1,0,FN
437,1,1,TP
322,0,0,TN
196,0,0,TN
227,1,1,TP
412,0,1,FP
149,1,0,FN
479,1,0,FN
327,0,0,TN
222,1,1,TP
350,0,1,FP
101,1,1,TP
398,0,0,TN
264,0,1,FP
47,0,1,FP
346,0,1,FP
76,0,1,FP
81,0,1,FP
207,1,0,FN
529,1,1,TP
375,1,1,TP
484,1,0,FN
525,1,0,FN
472,1,0,FN
69,1,0,FN
470,1,1,TP
113,1,1,TP
345,0,1,FP
511,1,1,TP
482,1,1,TP
526,0,1,FP
88,0,0,TN
448,1,1,TP
144,0,0,TN
134,1,1,TP
512,0,1,FP
6,1,1,TP
91,0,0,TN
276,0,0,TN
320,0,0,TN
301,0,1,FP
520,1,1,TP
18,1,1,TP
467,1,1,TP
48,0,1,FP
357,0,1,FP
353,0,1,FP
250,0,1,FP
411,0,1,FP
519,1,0,FN
128,0,1,FP
294,0,0,TN
483,1,0,FN
165,0,0,TN
17,1,1,TP
447,1,1,TP
291,0,0,TN
8,1,1,TP
328,0,1,FP
179,1,1,TP
45,1,1,TP
400,0,0,TN
124,1,1,TP
145,1,0,FN
331,0,1,FP
373,1,1,TP
57,0,1,FP
112,0,1,FP
102,1,1,TP
176,1,1,TP
528,0,1,FP
374,1,1,TP
186,0,1,FP
171,0,0,TN
324,0,1,FP
306,0,1,FP
464,1,1,TP
383,0,0,TN
427,1,1,TP
26,1,1,TP
140,1,1,TP
130,1,1,TP
211,1,1,TP
117,1,1,TP
197,0,1,FP
300,0,1,FP
305,0,1,FP
257,0,1,FP
435,1,1,TP
87,1,1,TP
433,1,1,TP
14,1,1,TP
462,1,1,TP
336,0,1,FP
481,1,1,TP
243,1,1,TP
244,0,1,FP
360,0,1,FP
154,0,0,TN
531,0,1,FP
444,0,1,FP
428,1,1,TP
28,1,1,TP
118,1,1,TP
39,1,0,FN
490,1,0,FN
323,0,1,FP
533,1,1,TP
75,0,1,FP
27,1,1,TP
459,1,1,TP
66,1,1,TP
485,1,1,TP
504,0,1,FP
409,0,0,TN
391,0,0,TN
278,0,0,TN
25,1,1,TP
332,0,1,FP
215,0,0,TN
65,1,1,TP
40,1,0,FN
221,1,1,TP
488,1,1,TP
538,0,1,FP
164,0,0,TN
82,1,1,TP
414,0,1,FP
94,1,1,TP
55,1,0,FN
468,1,1,TP
319,0,0,TN
180,1,1,TP
326,0,0,TN
4,1,1,TP
224,1,1,TP
413,0,0,TN
120,0,1,FP
161,0,0,TN
347,0,1,FP
50,1,1,TP
127,1,1,TP
74,0,0,TN
116,0,1,FP
136,1,1,TP
104,1,1,TP
354,0,1,FP
369,0,1,FP
31,1,1,TP
453,1,1,TP
337,0,1,FP
394,1,0,FN
341,0,1,FP
452,1,1,TP
299,0,1,FP
261,0,1,FP
487,1,1,TP
141,0,0,TN
338,0,1,FP
527,0,1,FP
106,1,1,TP
142,1,0,FN
214,0,0,TN
351,0,1,FP
52,1,0,FN
175,1,1,TP
122,0,1,FP
216,0,0,TN
340,0,1,FP
11,1,1,TP
267,0,0,TN
334,0,1,FP
189,1,1,TP
191,0,1,FP
13,1,1,TP
376,1,1,TP
202,1,0,FN
213,0,0,TN
167,0,0,TN
280,0,0,TN
121,0,1,FP
58,1,1,TP
53,0,0,TN
292,0,1,FP
193,0,1,FP
298,0,1,FP
536,0,1,FP
545,0,0,TN
178,1,1,TP
445,0,1,FP
123,0,1,FP
440,1,1,TP
454,1,1,TP
249,1,1,TP
491,1,0,FN
51,0,0,TN
131,0,1,FP
199,0,0,TN
515,0,1,FP
418,0,0,TN
245,1,1,TP
265,0,1,FP
177,1,1,TP
522,1,0,FN
194,0,1,FP
432,1,1,TP
514,0,1,FP
0,1,1,TP
282,0,1,FP
377,0,0,TN
237,1,1,TP
146,1,0,FN
21,1,1,TP
220,1,1,TP
119,0,1,FP
284,1,1,TP
234,1,1,TP
325,0,0,TN
283,1,1,TP
442,1,1,TP
143,0,0,TN
352,0,1,FP
46,1,1,TP
255,1,1,TP
85,1,1,TP
36,1,1,TP
23,1,1,TP
138,1,0,FN
80,0,1,FP
321,0,0,TN
532,0,1,FP
436,1,1,TP
358,0,1,FP
507,1,1,TP
496,1,0,FN
307,0,1,FP
246,1,1,TP
170,0,0,TN
451,0,1,FP
63,1,0,FN
463,1,1,TP
166,0,0,TN
349,0,1,FP
274,0,0,TN
317,0,0,TN
304,0,1,FP
188,1,1,TP
2,1,1,TP
68,1,0,FN
493,1,0,FN
335,0,1,FP
67,1,1,TP
115,0,1,FP
471,0,0,TN
60,1,1,TP
33,0,1,FP
494,0,0,TN
456,1,1,TP
366,0,1,FP
132,1,1,TP
392,0,0,TN
19,1,1,TP
233,1,1,TP
297,0,0,TN
480,1,0,FN
229,1,1,TP
371,1,1,TP
539,0,1,FP
92,0,0,TN
174,0,0,TN
109,1,1,TP
219,0,1,FP
516,0,0,TN
235,1,1,TP
421,0,0,TN
492,1,0,FN
430,1,1,TP
90,1,1,TP
523,1,1,TP
86,0,1,FP
365,0,1,FP
534,1,1,TP
343,0,1,FP
363,0,1,FP
59,1,1,TP
416,0,0,TN
98,1,1,TP
355,0,1,FP
108,1,1,TP
217,0,0,TN
195,0,1,FP
303,0,1,FP
190,0,1,FP
263,1,1,TP
44,1,1,TP
160,0,0,TN
518,1,0,FN
206,1,1,TP
152,1,0,FN
438,1,1,TP
43,1,1,TP
339,0,1,FP
434,1,1,TP
34,1,1,TP
530,1,1,TP
236,1,1,TP
105,1,1,TP
184,0,1,FP
49,1,1,TP
302,0,1,FP
169,0,0,TN
173,0,0,TN
429,1,1,TP
201,1,0,FN
293,0,1,FP
281,1,1,TP
344,0,1,FP
309,0,0,TN
84,0,1,FP
182,1,1,TP
181,1,1,TP
387,1,0,FN
209,1,1,TP
330,0,1,FP
342,0,1,FP
54,1,0,FN
125,1,1,TP
150,0,1,FP
93,1,1,TP
478,1,0,FN
465,1,0,FN
163,0,0,TN
212,0,0,TN
258,1,1,TP
12,1,1,TP
79,0,1,FP
396,0,0,TN
64,0,1,FP
158,0,0,TN
256,1,1,TP
24,1,1,TP
148,1,0,FN
83,0,1,FP
